paramHeader,param,est,se,est_se,pval,LatentClass
New.Additional.Parameters,L24_0,-2.063,0.064,-32.429,0,Categorical.Latent.Variables
New.Additional.Parameters,L24_12,2.028,0.051,40.023,0,Categorical.Latent.Variables
New.Additional.Parameters,L25_0,-0.915,0.059,-15.602,0,Categorical.Latent.Variables
New.Additional.Parameters,L25_12,1.705,0.062,27.436,0,Categorical.Latent.Variables
New.Additional.Parameters,L26_0,-2.491,0.123,-20.309,0,Categorical.Latent.Variables
New.Additional.Parameters,L27_0,-1.469,0.289,-5.08,0,Categorical.Latent.Variables
New.Additional.Parameters,L27_11,1.603,0.369,4.342,0,Categorical.Latent.Variables
New.Additional.Parameters,L28_0,-1.173,0.206,-5.687,0,Categorical.Latent.Variables
New.Additional.Parameters,L28_11,1.199,0.123,9.784,0,Categorical.Latent.Variables
New.Additional.Parameters,L28_12,1.565,0.173,9.067,0,Categorical.Latent.Variables
