paramHeader,param,est,se,est_se,pval,LatentClass
New.Additional.Parameters,L25_11,1.064,0.698,1.523,0.128,Categorical.Latent.Variables
New.Additional.Parameters,L25_12,1.161,0.267,4.353,0,Categorical.Latent.Variables
New.Additional.Parameters,L25_212,0.044,0.835,0.052,0.958,Categorical.Latent.Variables
New.Additional.Parameters,L26_0,-2.491,0.123,-20.31,0,Categorical.Latent.Variables
New.Additional.Parameters,L26_13,0,0,100,0,Categorical.Latent.Variables
New.Additional.Parameters,L27_0,-1.483,0.12,-12.361,0,Categorical.Latent.Variables
New.Additional.Parameters,L27_11,1.663,0.196,8.502,0,Categorical.Latent.Variables
New.Additional.Parameters,L28_0,-1.288,0.181,-7.12,0,Categorical.Latent.Variables
New.Additional.Parameters,L28_11,2.59,0.859,3.014,0.003,Categorical.Latent.Variables
New.Additional.Parameters,L28_12,1.644,0.298,5.523,0,Categorical.Latent.Variables
New.Additional.Parameters,L28_212,-1.361,0.944,-1.442,0.149,Categorical.Latent.Variables
